4, B2ac/S1, 1, 1, 2, 2bo2$b2o$o!
3, B2cei3a/S02i3i, 1, 1, 3, 2bo2$obo!
4, B2-ei3aq4ik5ceq/S02aei3acjn4aijny5ejkn6ein7e, 2, 2, 4, o$b2o$bo!
3, B2-a/S12-k, 1, 1, 4, bo$bo$o!
3, B2aci3a4ny5a/S03i4ajw5a7c, 2, 2, 5, 2bo2$obo!
3, B2ein3acein4r5i/S02-ck3a, 1, 1, 5, 2bo2$obo!
4, B2ac3a/S02-ik3a, 3, 3, 6, o$b2o$bo!
3, B2cik3a4qt5kny6n/S01e2k3ejkn4ktw5ek6n, 2, 2, 6, 2bo2$obo!
3, B2-a/S12, 1, 1, 6, bo$bo$o!
3, B2-en3ak4iw5acr/S02ek3aiy5ck, 3, 3, 7, 2bo2$obo!
3, B2-a3a4eqr5ej6n7e/S02a4k5y, 2, 2, 7, 2bo2$obo!
3, B2cen3eqry4aeijnrt5eny6-n7e/S012ae3ejknq4eijknqt5ckry6-i7, 1, 1, 7, 2bo2$obo!
4, B2acn3y4e/S12-ei3c4ey, 4, 4, 8, 2bo2$b2o$o!
3, B2-ek3ae4r5a/S01e3j4e5ack, 3, 3, 8, 2bo2$obo!
3, B2ce3ey4ij5aqy6i7e/S013e5k6e, 2, 2, 8, 2bo$obo!
3, B2ek3acinq4-ijqw5acr6-an7e/S012-ek3cnqr4cejz5kqry6-ck7e8, 1, 1, 8, bo2$2o!
3, B2-ek3akr4q5c6c/S01e2e3ijr4arw5ac6n, 4, 4, 9, 2bo2$obo!
3, B2cen3ejnry4-jqtwz5eij6i7e8/S012i3acy4aeinqyz5aei6kn7c8, 3, 3, 9, 2bo2$obo!
3, B2cin3akny4-akqtz5-en6n7e8/S01e3jknqr4-aeity5ajy6aei7, 2, 2, 9, 2bo2$obo!
3, B2eik3-jky4aeikryz5-cqry6-cn7e/S02k3e4c, 1, 1, 9, 2bo2$obo!
4, B2acn3cen4qt5aik6cek7e/S12a3-knqr4ntwz5knr6c7e, 5, 5, 10, 2bo2$b2o$o!
3, B2-ek3a4iy5aek/S02k3i, 4, 4, 10, 2bo2$obo!
3, B2ckn3acein4qr5acein6ei7c/S02a3ei4jn5a6ak8, 3, 3, 10, o2bo2$2bo!
3, B2cei3ey4ay5iq6n/S012cen3iky4aky5acjn6-k7e, 2, 2, 10, 2bo$obo!
3, B2k3ainq4aijn5aijnq6-ce8/S03j5iy, 1, 1, 10, bo2$o2bo!
3, B2aci3akn/S02ce3ijr4wy5a6e, 5, 5, 11, 2bo2$obo!
3, B2aci3akn4q5c6e/S03ijr4aqrw5ac6e7c, 4, 4, 11, 2bo2$obo!
3, B2-an3aciry4cijk5ejky6ein7e/S02n3i4t5y6akn, 3, 3, 11, 3bo2$2bo$o!
3, B2ce3q4inyz5cjnq6n7c8/S012ei3qr4jnqtyz5cjq6ac7e8, 2, 2, 11, 2bo2$obo!
3, B2cin3akqr4-ny5-iny6ain78/S02a3y4ejq5i, 1, 1, 11, 2bo2$obo!
4, B2acn3ey5j/S12-ei3c4nr, 6, 6, 12, 2bo2$b2o$o!
3, B2aci3ak4qw5ck/S02ce3cijry4w6e, 5, 5, 12, 2bo2$obo!
3, B2-ai3acry4-cinry5ajk6-kn/S02n5aeiy6k7c, 4, 4, 12, 3bo2$2bo$o!
3, B2ei3-qr4-ceknw5aiknr6-ac7e/S02ae3ekn4jknqrty5eik6-ac, 3, 3, 12, 2bo2$obo!
3, B2-ai3ekq4aikqty5ajy6cn7/S012ain3jk4aikw5eikry6-ce7e, 2, 2, 12, 2bo2$obo!
3, B2-ac3aeinr4ejnwy5ciky6e7e/S013ei4y, 1, 1, 12, 2bo2$o$3bo!
3, B2aci3ak4aq5n/S02ei3ijr4w5an, 6, 6, 13, 2bo2$obo!
3, B2aci3akn4aq5c/S02cn3ijnr4eqrw5akn, 5, 5, 13, 2bo2$obo!
3, B2cen3-cjy4acertwz5-cejy6cn7e/S01c3jq4jy6e7c, 4, 4, 13, 2bo2$obo!
3, B2-ae3aeiqr4cjnqryz5jq6aci7e8/S02-ai3-ceny4eknqrwy5ijnr6-in7e, 3, 3, 13, 2bo2$obo!
3, B2ce3aejk4-ijnrw5aciy6kn7c/S012c3-ikqr4-eirtz5-cj6-ac8, 2, 2, 13, 2bo2$obo!
3, B2-an3aeqry4-krz5-eq7/S02k5ay6e7e, 1, 1, 13, obo2$o!
4, B2ack3en4ckntyz5cr6ek8/S1, 7, 7, 14, 2bo2$b2o$o!
3, B2-ek3ak4w5cn/S02c3ijnr4nw5cy6e, 6, 6, 14, 2bo2$obo!
3, B2-ek3ak4jk5c6n/S02ce3cijr4aw5ace6e7c, 5, 5, 14, 2bo2$obo!
3, B2cek3kqry4qz5ajkqr6ak7e8/S04rz5e, 4, 4, 14, 3bo2$o2bo!
3, B2-a3-cenr4ikntyz5-eiq6-ci78/S012i3-ajy4acey5ejnry6in7e8, 3, 3, 14, o2bo2$2bo!
3, B2cek3k4c5y/S02i3j, 2, 2, 14, o2bo2$3bo!
3, B2ek3-qy6cik/S2-ck3inr4ai5i, 1, 1, 14, bo$o$2bo!
3, B2aci3ak4jkw5i/S02c3-cekq4aeirtw5cey6e7c, 7, 7, 15, 2bo2$obo!
3, B2aci3akn4awy5inr6e7c8/S02i3-knqy4cikqrw5ajnr, 6, 6, 15, 2bo2$obo!
3, B2cik3anr4qrw5ai/S01c2e3j4jw5q, 5, 5, 15, 2bo2$obo!
3, B2-a3n4ajw/S01e3n4aeq5q, 4, 4, 15, o$3bo2$bo!
3, B2-an3ary4ikw5-cein/S02ak3j4ai8, 3, 3, 15, 2bo2$obo!
3, B2cek3ay4ejqrtwy5akny6-en7/S03r4y6i, 2, 2, 15, 2bo2$obo!
3, B2cen3kqry4ainrwz5nr6ce7c8/S03r5c6e7c, 1, 1, 15, obo2$o!
